id;cliente;accion_id;accion;operacion;precio;cantidad;fecha_operacion;modo;analisis;procesamiento;descripcion
1;29619;61443;neural Tajikistan;Pound;5996;65212;2023-11-29T15:21:39;calculate Loan markets;true;true;nivel
2;13941;78867;feed;Humano SQL Joyería;32215;2289;2023-11-29T04:03:39;solid Siria;false;false;protocol
3;67294;93749;Buckinghamshire;Account;48257;65731;2023-11-29T01:01:07;Mobilidad Plástico Auto;false;true;Electrónica Madera
4;52439;65246;collaborative Ensalada Adelante;iterate customized;9735;35372;2023-11-29T09:55:29;generating invoice;true;false;Regional Japón Videojuegos
5;78443;12996;SMTP;program e-services Seguro;97513;99733;2023-11-28T23:48:14;Tunez Madera withdrawal;false;true;iterate program revolutionize
6;85862;82542;Madera;Lugar;28616;90589;2023-11-28T18:12:14;Acero JBOD;false;true;Facilitador
7;81308;42524;Acero B2C;microchip;43463;30614;2023-11-29T04:47:44;Universal;true;true;Marroquinería models turn-key
8;50199;42334;Genérico Hormigon;Patatas;15674;81233;2023-11-29T03:02:50;invoice overriding integrate;false;true;Analista enable
9;98019;15294;Soporte optimize;wireless navigate;12459;91305;2023-11-28T20:57:11;deposit Avon Asturias;true;false;leverage back-end Bajada
10;90512;4454;Bricolaje Personal;Coche;13670;14130;2023-11-28T19:51:58;didactica;false;false;Acero Pelota deposit
